,Conditions,Sampling Point,T_site,TDGC Levels(microlitres/litres),TDGC Rate(micro liter/liter/day)(%),Sampling interval,Operating Procedures
55,Condition 1,72XD04_NMD,NMD,416.0,0.4270000000000001,Annual,Continue normal operation.
56,Condition 1,40XD002_NMD,NMD,62.0,0.019,Annual,Continue normal operation.
57,Condition 1,40XD007_NMD,NMD,182.0,0.026000000000000002,Annual,Continue normal operation.
58,Condition 1,72XD02_NMD,NMD,43.0,0.08199999999999999,Annual,Continue normal operation.
59,Condition 1,72XE02_NMD,NMD,55.0,0.242,Annual,Continue normal operation.
60,Condition 1,70XD0208_NMD,NMD,63.0,0.001,Annual,Continue normal operation.
61,Condition 1,30XD001_NMD,NMD,134.0,0.094,Annual,Continue normal operation.
62,Condition 1,30XD004_NMD,NMD,151.0,0.107,Annual,Continue normal operation.
63,Condition 1,30XD006_NMD,NMD,97.0,0.043,Annual,Continue normal operation.
64,Condition 1,72XD01_NMD,NMD,95.0,0.017,Annual,Continue normal operation.
65,Condition 1,90TR01_NMD,NMD,111.0,0.052000000000000005,Annual,Continue normal operation.
66,Condition 1,90TR02_NMD,NMD,93.0,0.035,Annual,Continue normal operation.
67,Condition 1,90TR05_NMD,NMD,55.0,0.026000000000000002,Annual,Continue normal operation.
68,Condition 1,90TR03_NMD,NMD,76.0,0.017,Annual,Continue normal operation.
69,Condition 1,40XD001_NMD,NMD,94.0,0.018000000000000002,Annual,Continue normal operation.
70,Condition 1,30XD002_NMD,NMD,103.0,0.073,Annual,Continue normal operation.
71,Condition 1,30XD003_NMD,NMD,83.0,0.033,Annual,Continue normal operation.
72,Condition 1,30XD008_NMD,NMD,65.0,0.004,Annual,Continue normal operation.
73,Condition 1,72XD05_NMD,NMD,672.0,0.08900000000000001,Annual,Continue normal operation.
74,Condition 1,70SYT1220KV_NMD,NMD,388.0,0.105,Annual,Continue normal operation.
75,Condition 1,70SYT2220KV_NMD,NMD,395.0,0.315,Annual,Continue normal operation.
76,Condition 1,70XD0207_NMD,NMD,69.0,0.001,Annual,Continue normal operation.
77,Condition 1,65XD00001_NMD,NMD,58.0,0.026000000000000002,Annual,Continue normal operation.
78,Condition 1,65XD00002_NMD,NMD,65.0,0.039,Annual,Continue normal operation.
79,Condition 1,30XD007_NMD,NMD,50.0,0.008,Annual,Continue normal operation.
80,Condition 1,30XD011_NMD,NMD,80.0,0.01,Annual,Continue normal operation.
81,Condition 1,90TR04_NMD,NMD,32.0,0.021,Annual,Continue normal operation.
